C01161 $EA             NOP                             A:3401 X:0040 Y:0002 S:0362 D:0000 DB:C6 P:34 V:21  H:222
C01162 $AF $16 $42 $00 LDA $004216                     A:3401 X:0040 Y:0002 S:0362 D:0000 DB:C6 P:34 V:21  H:225
C01166 $95 $00         STA $00,X [000040] = $34        A:3434 X:0040 Y:0002 S:0362 D:0000 DB:C6 P:34 V:21  H:233
C01168 $AF $17 $42 $00 LDA $004217                     A:3434 X:0040 Y:0002 S:0362 D:0000 DB:C6 P:34 V:21  H:239
C0116C $95 $01         STA $01,X [000041] = $00        A:3400 X:0040 Y:0002 S:0362 D:0000 DB:C6 P:36 V:21  H:247
C0116E $68             PLA                             A:3400 X:0040 Y:0002 S:0362 D:0000 DB:C6 P:36 V:21  H:253
C0116F $EB             XBA                             A:3434 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:34 V:21  H:260
C01170 $A3 $02         LDA $02,S [000365] = $00        A:3434 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:34 V:21  H:264
C01172 $8F $02 $42 $00 STA $004202                     A:3400 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:36 V:21  H:271
C01176 $EB             XBA                             A:3400 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:36 V:21  H:293
C01177 $8F $03 $42 $00 STA $004203                     A:0034 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:34 V:21  H:298
C0117B $EA             NOP                             A:0034 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:34 V:21  H:305
C0117C $EA             NOP                             A:0034 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:34 V:21  H:308
C0117D $EA             NOP                             A:0034 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:34 V:21  H:311
C0117E $EA             NOP                             A:0034 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:34 V:21  H:314
C0117F $AF $16 $42 $00 LDA $004216                     A:0034 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:34 V:21  H:317
C01183 $18             CLC                             A:0000 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:36 V:21  H:324
C01184 $75 $01         ADC $01,X [000041] = $00        A:0000 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:36 V:21  H:327
C01186 $95 $01         STA $01,X [000041] = $00        A:0000 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:36 V:21  H:333
C01188 $AF $17 $42 $00 LDA $004217                     A:0000 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:36 V:22  H:0  
C0118C $69 $00         ADC #$00                        A:0000 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:36 V:22  H:7  
C0118E $95 $02         STA $02,X [000042] = $FF        A:0000 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:36 V:22  H:10 
C01190 $A3 $01         LDA $01,S [000364] = $00        A:0000 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:36 V:22  H:17 
C01192 $EB             XBA                             A:0000 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:36 V:22  H:23 
C01193 $A3 $03         LDA $03,S [000366] = $01        A:0000 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:36 V:22  H:28 
C01195 $8F $02 $42 $00 STA $004202                     A:0001 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:34 V:22  H:34 
C01199 $EB             XBA                             A:0001 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:34 V:22  H:42 
C0119A $8F $03 $42 $00 STA $004203                     A:0100 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:36 V:22  H:46 
C0119E $EA             NOP                             A:0100 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:36 V:22  H:54 
C0119F $EA             NOP                             A:0100 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:36 V:22  H:57 
C011A0 $EA             NOP                             A:0100 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:36 V:22  H:60 
C011A1 $EA             NOP                             A:0100 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:36 V:22  H:63 
C011A2 $AF $16 $42 $00 LDA $004216                     A:0100 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:36 V:22  H:66 
C011A6 $18             CLC                             A:0100 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:36 V:22  H:73 
C011A7 $75 $01         ADC $01,X [000041] = $00        A:0100 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:36 V:22  H:76 
C011A9 $95 $01         STA $01,X [000041] = $00        A:0100 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:36 V:22  H:83 
C011AB $AF $17 $42 $00 LDA $004217                     A:0100 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:36 V:22  H:89 
C011AF $75 $02         ADC $02,X [000042] = $00        A:0100 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:36 V:22  H:97 
C011B1 $95 $02         STA $02,X [000042] = $00        A:0100 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:36 V:22  H:103
C011B3 $A9 $00         LDA #$00                        A:0100 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:36 V:22  H:110
C011B5 $2A             ROL                             A:0100 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:36 V:22  H:113
C011B6 $95 $03         STA $03,X [000043] = $00        A:0100 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:36 V:22  H:116
C011B8 $A3 $01         LDA $01,S [000364] = $00        A:0100 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:36 V:22  H:122
C011BA $EB             XBA                             A:0100 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:36 V:22  H:129
