C16EFF $20 $DC $8A     JSR $8ADC [C18ADC] = $18A6      A:FD7F X:0004 Y:0214 S:03F7 D:00C0 DB:7F P:NvmxdIzC V:64  H:208
C18ADC $A6 $18         LDX $18 [0000D8] = $0004        A:FD7F X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:NvmxdIzC V:64  H:218
C18ADE $E0 $08 $00     CPX #$0008                      A:FD7F X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIzC V:64  H:227
C18AE1 $D0 $01         BNE $C18AE4                     A:FD7F X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:NvmxdIzc V:64  H:231
C18AE4 $FE $4E $E3     INC $E34E,X [7FE352] = $0000    A:FD7F X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:NvmxdIzc V:64  H:236
C18AE7 $A5 $14         LDA $14 [0000D4] = $0BD7        A:FD7F X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIzc V:64  H:251
C18AE9 $4A             LSR                             A:0BD7 X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIzc V:64  H:260
C18AEA $4A             LSR                             A:05EB X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIzC V:64  H:263
C18AEB $4A             LSR                             A:02F5 X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIzC V:64  H:266
C18AEC $8D $C4 $E3     STA $E3C4 [7FE3C4] = $017B      A:017A X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIzC V:64  H:269
C18AEF $BD $76 $E3     LDA $E376,X [7FE37A] = $1458    A:017A X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIzC V:64  H:292
C18AF2 $4A             LSR                             A:1458 X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIzC V:64  H:302
C18AF3 $4A             LSR                             A:0A2C X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIzc V:64  H:305
C18AF4 $4A             LSR                             A:0516 X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIzc V:64  H:308
C18AF5 $8D $C6 $E3     STA $E3C6 [7FE3C6] = $028B      A:028B X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIzc V:64  H:311
C18AF8 $BF $0E $6F $C1 LDA $C16F0E,X [C16F12] = $E252  A:028B X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIzc V:64  H:320
C18AFC $8D $C8 $E3     STA $E3C8 [7FE3C8] = $E1D2      A:E252 X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:NvmxdIzc V:64  H:328
C18AFF $AD $B4 $E3     LDA $E3B4 [7FE3B4] = $001B      A:E252 X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:NvmxdIzc V:64  H:336
C18B02 $1A             INC                             A:001B X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIzc V:65  H:5  
C18B03 $1A             INC                             A:001C X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIzc V:65  H:8  
C18B04 $8D $C0 $E5     STA $E5C0 [7FE5C0] = $001D      A:001D X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIzc V:65  H:11 
C18B07 $A6 $18         LDX $18 [0000D8] = $0004        A:001D X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIzc V:65  H:19 
C18B09 $AD $E2 $E3     LDA $E3E2 [7FE3E2] = $8000      A:001D X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIzc V:65  H:28 
C18B0C $10 $13         BPL $C18B21                     A:8000 X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:NvmxdIzc V:65  H:36 
C18B0E $A5 $18         LDA $18 [0000D8] = $0004        A:8000 X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:NvmxdIzc V:65  H:39 
C18B10 $4A             LSR                             A:0004 X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIzc V:65  H:48 
C18B11 $CD $72 $E4     CMP $E472 [7FE472] = $0000      A:0002 X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIzc V:65  H:51 
C18B14 $D0 $0B         BNE $C18B21                     A:0002 X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIzC V:65  H:59 
C18B21 $AD $E4 $E3     LDA $E3E4 [7FE3E4] = $0000      A:0002 X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIzC V:65  H:64 
C18B24 $10 $13         BPL $C18B39                     A:0000 X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIZC V:65  H:72 
C18B39 $AD $E6 $E3     LDA $E3E6 [7FE3E6] = $0000      A:0000 X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIZC V:65  H:77 
C18B3C $10 $13         BPL $C18B51                     A:0000 X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIZC V:65  H:85 
C18B51 $AD $E8 $E3     LDA $E3E8 [7FE3E8] = $0000      A:0000 X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIZC V:65  H:90 
