C18B99 $AD $EE $E3     LDA $E3EE [7FE3EE] = $0000      A:0000 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIZC V:63  H:295
C18B9C $10 $13         BPL $C18BB1                     A:0000 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIZC V:63  H:304
C18BB1 $AD $F0 $E3     LDA $E3F0 [7FE3F0] = $0000      A:0000 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIZC V:63  H:308
C18BB4 $10 $13         BPL $C18BC9                     A:0000 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIZC V:63  H:317
C18BC9 $60             RTS                             A:0000 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIZC V:63  H:321
C16ED1 $20 $9F $A6     JSR $A69F [C1A69F] = $18A6      A:0000 X:0004 Y:020C S:03F7 D:00C0 DB:7F P:nvmxdIZC V:63  H:330
C1A69F $A6 $18         LDX $18 [0000D8] = $0004        A:0000 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIZC V:64  H:0  
C1A6A1 $BD $4E $E3     LDA $E34E,X [7FE352] = $0001    A:0000 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIzC V:64  H:9  
C1A6A4 $F0 $3C         BEQ $C1A6E2                     A:0001 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIzC V:64  H:19 
C1A6A6 $BD $28 $E3     LDA $E328,X [7FE32C] = $FF80    A:0001 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIzC V:64  H:22 
C1A6A9 $4A             LSR                             A:FF80 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:NvmxdIzC V:64  H:32 
C1A6AA $4A             LSR                             A:7FC0 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIzc V:64  H:35 
C1A6AB $4A             LSR                             A:3FE0 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIzc V:64  H:38 
C1A6AC $29 $1F $00     AND #$001F                      A:1FF0 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIzc V:64  H:41 
C1A6AF $0A             ASL                             A:0010 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIzc V:64  H:45 
C1A6B0 $9D $A4 $E5     STA $E5A4,X [7FE5A8] = $0000    A:0020 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIzc V:64  H:48 
C1A6B3 $49 $3E $00     EOR #$003E                      A:0020 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIzc V:64  H:58 
C1A6B6 $1A             INC                             A:001E X:0004 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIzc V:64  H:63 
C1A6B7 $1A             INC                             A:001F X:0004 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIzc V:64  H:66 
C1A6B8 $9D $8C $E5     STA $E58C,X [7FE590] = $0000    A:0020 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIzc V:64  H:69 
