C6084F $68             PLA                             A:FF28 X:0010 Y:0000 S:0373 D:0000 DB:7E P:85 V:259 H:159
C60850 $38             SEC                             A:FFF8 X:0010 Y:0000 S:0375 D:0000 DB:7E P:85 V:259 H:167
C60851 $ED $98 $96     SBC $9698 [7E9698] = $0070      A:FFF8 X:0010 Y:0000 S:0375 D:0000 DB:7E P:85 V:259 H:170
C60854 $8D $AD $99     STA $99AD [7E99AD] = $FFFF      A:FF88 X:0010 Y:0000 S:0375 D:0000 DB:7E P:85 V:259 H:179
C60857 $60             RTS                             A:FF88 X:0010 Y:0000 S:0375 D:0000 DB:7E P:85 V:259 H:187
C6072E $20 $58 $08     JSR $0858 [C60858] = $A7AD      A:FF88 X:0010 Y:0000 S:0377 D:0000 DB:7E P:85 V:259 H:197
C60858 $AD $A7 $99     LDA $99A7 [7E99A7] = $0070      A:FF88 X:0010 Y:0000 S:0375 D:0000 DB:7E P:85 V:259 H:207
C6085B $38             SEC                             A:0070 X:0010 Y:0000 S:0375 D:0000 DB:7E P:05 V:259 H:216
C6085C $ED $92 $96     SBC $9692 [7E9692] = $0070      A:0070 X:0010 Y:0000 S:0375 D:0000 DB:7E P:05 V:259 H:219
C6085F $85 $18         STA $18 [000018] = $01F6        A:0000 X:0010 Y:0000 S:0375 D:0000 DB:7E P:07 V:259 H:227
C60861 $AD $AB $99     LDA $99AB [7E99AB] = $0058      A:0000 X:0010 Y:0000 S:0375 D:0000 DB:7E P:07 V:259 H:234
C60864 $38             SEC                             A:0058 X:0010 Y:0000 S:0375 D:0000 DB:7E P:05 V:259 H:243
C60865 $ED $94 $96     SBC $9694 [7E9694] = $0058      A:0058 X:0010 Y:0000 S:0375 D:0000 DB:7E P:05 V:259 H:246
C60868 $85 $1A         STA $1A [00001A] = $0199        A:0000 X:0010 Y:0000 S:0375 D:0000 DB:7E P:07 V:259 H:254
C6086A $AD $A9 $99     LDA $99A9 [7E99A9] = $FF80      A:0000 X:0010 Y:0000 S:0375 D:0000 DB:7E P:07 V:259 H:261
C6086D $18             CLC                             A:FF80 X:0010 Y:0000 S:0375 D:0000 DB:7E P:85 V:259 H:270
C6086E $6D $96 $96     ADC $9696 [7E9696] = $0078      A:FF80 X:0010 Y:0000 S:0375 D:0000 DB:7E P:84 V:259 H:273
C60871 $85 $1C         STA $1C [00001C] = $0000        A:FFF8 X:0010 Y:0000 S:0375 D:0000 DB:7E P:84 V:259 H:281
C60873 $AD $AD $99     LDA $99AD [7E99AD] = $FF88      A:FFF8 X:0010 Y:0000 S:0375 D:0000 DB:7E P:84 V:259 H:288
C60876 $18             CLC                             A:FF88 X:0010 Y:0000 S:0375 D:0000 DB:7E P:84 V:259 H:297
C60877 $6D $98 $96     ADC $9698 [7E9698] = $0070      A:FF88 X:0010 Y:0000 S:0375 D:0000 DB:7E P:84 V:259 H:300
C6087A $85 $1E         STA $1E [00001E] = $0000        A:FFF8 X:0010 Y:0000 S:0375 D:0000 DB:7E P:84 V:259 H:308
C6087C $AD $0F $9A     LDA $9A0F [7E9A0F] = $0100      A:FFF8 X:0010 Y:0000 S:0375 D:0000 DB:7E P:84 V:259 H:315
C6087F $0A             ASL                             A:0100 X:0010 Y:0000 S:0375 D:0000 DB:7E P:04 V:259 H:323
C60880 $0A             ASL                             A:0200 X:0010 Y:0000 S:0375 D:0000 DB:7E P:04 V:259 H:326
C60881 $0A             ASL                             A:0400 X:0010 Y:0000 S:0375 D:0000 DB:7E P:04 V:259 H:329
C60882 $48             PHA                             A:0800 X:0010 Y:0000 S:0375 D:0000 DB:7E P:04 V:259 H:332
C60883 $AD $17 $9A     LDA $9A17 [7E9A17] = $0100      A:0800 X:0010 Y:0000 S:0373 D:0000 DB:7E P:04 V:259 H:339
C60886 $0A             ASL                             A:0100 X:0010 Y:0000 S:0373 D:0000 DB:7E P:04 V:260 H:7  
C60887 $0A             ASL                             A:0200 X:0010 Y:0000 S:0373 D:0000 DB:7E P:04 V:260 H:10 
C60888 $0A             ASL                             A:0400 X:0010 Y:0000 S:0373 D:0000 DB:7E P:04 V:260 H:13 
C60889 $48             PHA                             A:0800 X:0010 Y:0000 S:0373 D:0000 DB:7E P:04 V:260 H:16 
C6088A $AD $58 $98     LDA $9858 [7E9858] = $0158      A:0800 X:0010 Y:0000 S:0371 D:0000 DB:7E P:04 V:260 H:23 
C6088D $0A             ASL                             A:0158 X:0010 Y:0000 S:0371 D:0000 DB:7E P:04 V:260 H:32 
C6088E $0A             ASL                             A:02B0 X:0010 Y:0000 S:0371 D:0000 DB:7E P:04 V:260 H:35 
C6088F $0A             ASL                             A:0560 X:0010 Y:0000 S:0371 D:0000 DB:7E P:04 V:260 H:38 
C60890 $18             CLC                             A:0AC0 X:0010 Y:0000 S:0371 D:0000 DB:7E P:04 V:260 H:41 
C60891 $63 $03         ADC $03,S [000374] = $0800      A:0AC0 X:0010 Y:0000 S:0371 D:0000 DB:7E P:04 V:260 H:44 
C60893 $38             SEC                             A:12C0 X:0010 Y:0000 S:0371 D:0000 DB:7E P:04 V:260 H:52 
C60894 $ED $8E $96     SBC $968E [7E968E] = $0078      A:12C0 X:0010 Y:0000 S:0371 D:0000 DB:7E P:05 V:260 H:55 
C60897 $C5 $18         CMP $18 [000018] = $0000        A:1248 X:0010 Y:0000 S:0371 D:0000 DB:7E P:05 V:260 H:64 
C60899 $B0 $06         BCS $C608A1                     A:1248 X:0010 Y:0000 S:0371 D:0000 DB:7E P:05 V:260 H:71 
C608A1 $8D $58 $98     STA $9858 [7E9858] = $0158      A:1248 X:0010 Y:0000 S:0371 D:0000 DB:7E P:05 V:260 H:75 
C608A4 $38             SEC                             A:1248 X:0010 Y:0000 S:0371 D:0000 DB:7E P:05 V:260 H:84 
C608A5 $6D $9A $96     ADC $969A [7E969A] = $00F0      A:1248 X:0010 Y:0000 S:0371 D:0000 DB:7E P:05 V:260 H:87 
C608A8 $C5 $1C         CMP $1C [00001C] = $FFF8        A:1339 X:0010 Y:0000 S:0371 D:0000 DB:7E P:04 V:260 H:95 
C608AA $90 $09         BCC $C608B5                     A:1339 X:0010 Y:0000 S:0371 D:0000 DB:7E P:04 V:260 H:102
C608B5 $AD $5A $98     LDA $985A [7E985A] = $01B5      A:1339 X:0010 Y:0000 S:0371 D:0000 DB:7E P:04 V:260 H:107
C608B8 $3A             DEC                             A:01B5 X:0010 Y:0000 S:0371 D:0000 DB:7E P:04 V:260 H:115
C608B9 $3A             DEC                             A:01B4 X:0010 Y:0000 S:0371 D:0000 DB:7E P:04 V:260 H:118
C608BA $0A             ASL                             A:01B3 X:0010 Y:0000 S:0371 D:0000 DB:7E P:04 V:260 H:121
C608BB $0A             ASL                             A:0366 X:0010 Y:0000 S:0371 D:0000 DB:7E P:04 V:260 H:124
C608BC $0A             ASL                             A:06CC X:0010 Y:0000 S:0371 D:0000 DB:7E P:04 V:260 H:127
C608BD $18             CLC                             A:0D98 X:0010 Y:0000 S:0371 D:0000 DB:7E P:04 V:260 H:130
C608BE $63 $01         ADC $01,S [000372] = $0800      A:0D98 X:0010 Y:0000 S:0371 D:0000 DB:7E P:04 V:260 H:133
C608C0 $38             SEC                             A:1598 X:0010 Y:0000 S:0371 D:0000 DB:7E P:04 V:260 H:152
C608C1 $ED $90 $96     SBC $9690 [7E9690] = $0060      A:1598 X:0010 Y:0000 S:0371 D:0000 DB:7E P:05 V:260 H:155
C608C4 $C5 $1A         CMP $1A [00001A] = $0000        A:1538 X:0010 Y:0000 S:0371 D:0000 DB:7E P:05 V:260 H:163
C608C6 $B0 $06         BCS $C608CE                     A:1538 X:0010 Y:0000 S:0371 D:0000 DB:7E P:05 V:260 H:170
C608CE $8D $5A $98     STA $985A [7E985A] = $01B5      A:1538 X:0010 Y:0000 S:0371 D:0000 DB:7E P:05 V:260 H:175
C608D1 $38             SEC                             A:1538 X:0010 Y:0000 S:0371 D:0000 DB:7E P:05 V:260 H:183
C608D2 $6D $9C $96     ADC $969C [7E969C] = $00D0      A:1538 X:0010 Y:0000 S:0371 D:0000 DB:7E P:05 V:260 H:186
C608D5 $C5 $1E         CMP $1E [00001E] = $FFF8        A:1609 X:0010 Y:0000 S:0371 D:0000 DB:7E P:04 V:260 H:195
