01916F $20 $0B $FE     JSR $FE0B [01FE0B] = $8B        A:CDC8 X:0D20 Y:CDC8 S:1FCB D:0000 DB:01 P:nvMxdiZc V:198 H:304
01E927 $64 $80         STZ $80 [002180] = $00          A:CD06 X:0006 Y:9A33 S:1FC2 D:2100 DB:04 P:NvMxdizc V:200 H:309
01E929 $CA             DEX                             A:CD06 X:0006 Y:9A33 S:1FC2 D:2100 DB:04 P:NvMxdizc V:200 H:314
01E92A $D0 $F5         BNE $01E921                     A:CD06 X:0005 Y:9A33 S:1FC2 D:2100 DB:04 P:nvMxdizc V:200 H:318
01E921 $B9 $00 $00     LDA $0000,Y [049A33] = $1F      A:CD06 X:0005 Y:9A33 S:1FC2 D:2100 DB:04 P:nvMxdizc V:200 H:323
01E924 $C8             INY                             A:CD1F X:0005 Y:9A33 S:1FC2 D:2100 DB:04 P:nvMxdizc V:200 H:332
01E925 $85 $80         STA $80 [002180] = $00          A:CD1F X:0005 Y:9A34 S:1FC2 D:2100 DB:04 P:NvMxdizc V:200 H:335
01E927 $64 $80         STZ $80 [002180] = $00          A:CD1F X:0005 Y:9A34 S:1FC2 D:2100 DB:04 P:NvMxdizc V:201 H:1  
01E929 $CA             DEX                             A:CD1F X:0005 Y:9A34 S:1FC2 D:2100 DB:04 P:NvMxdizc V:201 H:6  
01E92A $D0 $F5         BNE $01E921                     A:CD1F X:0004 Y:9A34 S:1FC2 D:2100 DB:04 P:nvMxdizc V:201 H:10 
01E921 $B9 $00 $00     LDA $0000,Y [049A34] = $0C      A:CD1F X:0004 Y:9A34 S:1FC2 D:2100 DB:04 P:nvMxdizc V:201 H:15 
01E924 $C8             INY                             A:CD0C X:0004 Y:9A34 S:1FC2 D:2100 DB:04 P:nvMxdizc V:201 H:25 
01E925 $85 $80         STA $80 [002180] = $00          A:CD0C X:0004 Y:9A35 S:1FC2 D:2100 DB:04 P:NvMxdizc V:201 H:28 
01E927 $64 $80         STZ $80 [002180] = $00          A:CD0C X:0004 Y:9A35 S:1FC2 D:2100 DB:04 P:NvMxdizc V:201 H:34 
01E929 $CA             DEX                             A:CD0C X:0004 Y:9A35 S:1FC2 D:2100 DB:04 P:NvMxdizc V:201 H:39 
01E92A $D0 $F5         BNE $01E921                     A:CD0C X:0003 Y:9A35 S:1FC2 D:2100 DB:04 P:nvMxdizc V:201 H:43 
01E921 $B9 $00 $00     LDA $0000,Y [049A35] = $08      A:CD0C X:0003 Y:9A35 S:1FC2 D:2100 DB:04 P:nvMxdizc V:201 H:48 
01E924 $C8             INY                             A:CD08 X:0003 Y:9A35 S:1FC2 D:2100 DB:04 P:nvMxdizc V:201 H:58 
01E925 $85 $80         STA $80 [002180] = $00          A:CD08 X:0003 Y:9A36 S:1FC2 D:2100 DB:04 P:NvMxdizc V:201 H:61 
01E927 $64 $80         STZ $80 [002180] = $00          A:CD08 X:0003 Y:9A36 S:1FC2 D:2100 DB:04 P:NvMxdizc V:201 H:67 
01E929 $CA             DEX                             A:CD08 X:0003 Y:9A36 S:1FC2 D:2100 DB:04 P:NvMxdizc V:201 H:72 
01E92A $D0 $F5         BNE $01E921                     A:CD08 X:0002 Y:9A36 S:1FC2 D:2100 DB:04 P:nvMxdizc V:201 H:76 
01E921 $B9 $00 $00     LDA $0000,Y [049A36] = $00      A:CD08 X:0002 Y:9A36 S:1FC2 D:2100 DB:04 P:nvMxdizc V:201 H:81 
01E924 $C8             INY                             A:CD00 X:0002 Y:9A36 S:1FC2 D:2100 DB:04 P:nvMxdiZc V:201 H:91 
