
018226 $85 $02         STA $02 [00192D] = $C708        A:C728 X:0798 Y:C728 S:1FC4 D:192B DB:01 P:Nvmxdizc V:35  H:200
018228 $C6 $06         DEC $06 [001931] = $0010        A:C728 X:0798 Y:C728 S:1FC4 D:192B DB:01 P:Nvmxdizc V:35  H:210
01822A $D0 $E9         BNE $018215                     A:C728 X:0798 Y:C728 S:1FC4 D:192B DB:01 P:nvmxdizc V:35  H:225
018215 $20 $2E $82     JSR $822E [01822E] = $088B      A:C728 X:0798 Y:C728 S:1FC4 D:192B DB:01 P:nvmxdizc V:35  H:230
01822E $8B             PHB                             A:C728 X:0798 Y:C728 S:1FC2 D:192B DB:01 P:nvmxdizc V:35  H:242
01822F $08             PHP                             A:C728 X:0798 Y:C728 S:1FC1 D:192B DB:01 P:nvmxdizc V:35  H:247
018230 $C2 $30         REP #$30                        A:C728 X:0798 Y:C728 S:1FC0 D:192B DB:01 P:nvmxdizc V:35  H:253
018232 $8B             PHB                             A:C728 X:0798 Y:C728 S:1FC0 D:192B DB:01 P:nvmxdizc V:35  H:258
018233 $AD $2B $19     LDA $192B [01192B] = $0798      A:C728 X:0798 Y:C728 S:1FBF D:192B DB:01 P:nvmxdizc V:35  H:264
018236 $18             CLC                             A:0798 X:0798 Y:C728 S:1FBF D:192B DB:01 P:nvmxdizc V:35  H:274
018237 $69 $20 $CA     ADC #$CA20                      A:0798 X:0798 Y:C728 S:1FBF D:192B DB:01 P:nvmxdizc V:35  H:289
01823A $AA             TAX                             A:D1B8 X:0798 Y:C728 S:1FBF D:192B DB:01 P:Nvmxdizc V:35  H:295
01823B $AC $2D $19     LDY $192D [01192D] = $C728      A:D1B8 X:D1B8 Y:C728 S:1FBF D:192B DB:01 P:Nvmxdizc V:35  H:299
01823E $A9 $0F $00     LDA #$000F                      A:D1B8 X:D1B8 Y:C728 S:1FBF D:192B DB:01 P:Nvmxdizc V:35  H:309
018241 $54 $7F $04     MVN $04 -> $7F                  A:000F X:D1B8 Y:C728 S:1FBF D:192B DB:01 P:nvmxdizc V:35  H:315
018241 $54 $7F $04     MVN $04 -> $7F                  A:000E X:D1B9 Y:C729 S:1FBF D:192B DB:7F P:nvmxdizc V:35  H:327
018241 $54 $7F $04     MVN $04 -> $7F                  A:000D X:D1BA Y:C72A S:1FBF D:192B DB:7F P:nvmxdizc V:36  H:0  
018241 $54 $7F $04     MVN $04 -> $7F                  A:000C X:D1BB Y:C72B S:1FBF D:192B DB:7F P:nvmxdizc V:36  H:13 
018241 $54 $7F $04     MVN $04 -> $7F                  A:000B X:D1BC Y:C72C S:1FBF D:192B DB:7F P:nvmxdizc V:36  H:26 
018241 $54 $7F $04     MVN $04 -> $7F                  A:000A X:D1BD Y:C72D S:1FBF D:192B DB:7F P:nvmxdizc V:36  H:39 
018241 $54 $7F $04     MVN $04 -> $7F                  A:0009 X:D1BE Y:C72E S:1FBF D:192B DB:7F P:nvmxdizc V:36  H:52 
018241 $54 $7F $04     MVN $04 -> $7F                  A:0008 X:D1BF Y:C72F S:1FBF D:192B DB:7F P:nvmxdizc V:36  H:65 
018241 $54 $7F $04     MVN $04 -> $7F                  A:0007 X:D1C0 Y:C730 S:1FBF D:192B DB:7F P:nvmxdizc V:36  H:78 
018241 $54 $7F $04     MVN $04 -> $7F                  A:0006 X:D1C1 Y:C731 S:1FBF D:192B DB:7F P:nvmxdizc V:36  H:91 
018241 $54 $7F $04     MVN $04 -> $7F                  A:0005 X:D1C2 Y:C732 S:1FBF D:192B DB:7F P:nvmxdizc V:36  H:104
018241 $54 $7F $04     MVN $04 -> $7F                  A:0004 X:D1C3 Y:C733 S:1FBF D:192B DB:7F P:nvmxdizc V:36  H:117
018241 $54 $7F $04     MVN $04 -> $7F                  A:0003 X:D1C4 Y:C734 S:1FBF D:192B DB:7F P:nvmxdizc V:36  H:130
018241 $54 $7F $04     MVN $04 -> $7F                  A:0002 X:D1C5 Y:C735 S:1FBF D:192B DB:7F P:nvmxdizc V:36  H:153
018241 $54 $7F $04     MVN $04 -> $7F                  A:0001 X:D1C6 Y:C736 S:1FBF D:192B DB:7F P:nvmxdizc V:36  H:166
018241 $54 $7F $04     MVN $04 -> $7F                  A:0000 X:D1C7 Y:C737 S:1FBF D:192B DB:7F P:nvmxdizc V:36  H:179
018244 $AB             PLB                             A:FFFF X:D1C8 Y:C738 S:1FBF D:192B DB:7F P:nvmxdizc V:36  H:192
018245 $8A             TXA                             A:FFFF X:D1C8 Y:C738 S:1FC0 D:192B DB:01 P:nvmxdizc V:36  H:199
018246 $38             SEC                             A:D1C8 X:D1C8 Y:C738 S:1FC0 D:192B DB:01 P:Nvmxdizc V:36  H:202
018247 $E9 $20 $CA     SBC #$CA20                      A:D1C8 X:D1C8 Y:C738 S:1FC0 D:192B DB:01 P:NvmxdizC V:36  H:206
01824A $AA             TAX                             A:07A8 X:D1C8 Y:C738 S:1FC0 D:192B DB:01 P:nvmxdizC V:36  H:212
01824B $E2 $20         SEP #$20                        A:07A8 X:07A8 Y:C738 S:1FC0 D:192B DB:01 P:nvmxdizC V:36  H:215
01824D $C2 $10         REP #$10                        A:07A8 X:07A8 Y:C738 S:1FC0 D:192B DB:01 P:nvMxdizC V:36  H:221
01824F $F4 $7F $00     PEA #$007F                      A:07A8 X:07A8 Y:C738 S:1FC0 D:192B DB:01 P:nvMxdizC V:36  H:226
018252 $AB             PLB                             A:07A8 X:07A8 Y:C738 S:1FBE D:192B DB:01 P:nvMxdizC V:36  H:236
018253 $68             PLA                             A:07A8 X:07A8 Y:C738 S:1FBF D:192B DB:7F P:nvMxdizC V:36  H:243
018254 $EB             XBA                             A:0700 X:07A8 Y:C738 S:1FC0 D:192B DB:7F P:nvMxdiZC V:36  H:250
018255 $A9 $08         LDA #$08                        A:0007 X:07A8 Y:C738 S:1FC0 D:192B DB:7F P:nvMxdizC V:36  H:255
018257 $8D $33 $19     STA $1933 [7F1933] = $00        A:0008 X:07A8 Y:C738 S:1FC0 D:192B DB:7F P:nvMxdizC V:36  H:259
01825A $BF $20 $CA $04 LDA $04CA20,X [04D1C8] = $10    A:0008 X:07A8 Y:C738 S:1FC0 D:192B DB:7F P:nvMxdizC V:36  H:267
01825E $E8             INX                             A:0010 X:07A8 Y:C738 S:1FC0 D:192B DB:7F P:nvMxdizC V:36  H:289
01825F $99 $00 $00     STA $0000,Y [7FC738] = $10      A:0010 X:07A9 Y:C738 S:1FC0 D:192B DB:7F P:nvMxdizC V:36  H:293
018262 $C8             INY                             A:0010 X:07A9 Y:C738 S:1FC0 D:192B DB:7F P:nvMxdizC V:36  H:302
018263 $A9 $00         LDA #$00                        A:0010 X:07A9 Y:C739 S:1FC0 D:192B DB:7F P:NvMxdizC V:36  H:306
018265 $99 $00 $00     STA $0000,Y [7FC739] = $00      A:0000 X:07A9 Y:C739 S:1FC0 D:192B DB:7F P:nvMxdiZC V:36  H:310
018268 $C8             INY                             A:0000 X:07A9 Y:C739 S:1FC0 D:192B DB:7F P:nvMxdiZC V:36  H:319
018269 $CE $33 $19     DEC $1933 [7F1933] = $08        A:0000 X:07A9 Y:C73A S:1FC0 D:192B DB:7F P:NvMxdizC V:36  H:323
01826C $D0 $EC         BNE $01825A                     A:0000 X:07A9 Y:C73A S:1FC0 D:192B DB:7F P:nvMxdizC V:36  H:333
01825A $BF $20 $CA $04 LDA $04CA20,X [04D1C9] = $10    A:0000 X:07A9 Y:C73A S:1FC0 D:192B DB:7F P:nvMxdizC V:36  H:339
01825E $E8             INX                             A:0010 X:07A9 Y:C73A S:1FC0 D:192B DB:7F P:nvMxdizC V:37  H:9  
01825F $99 $00 $00     STA $0000,Y [7FC73A] = $10      A:0010 X:07AA Y:C73A S:1FC0 D:192B DB:7F P:nvMxdizC V:37  H:12 
018262 $C8             INY                             A:0010 X:07AA Y:C73A S:1FC0 D:192B DB:7F P:nvMxdizC V:37  H:22 
018263 $A9 $00         LDA #$00                        A:0010 X:07AA Y:C73B S:1FC0 D:192B DB:7F P:NvMxdizC V:37  H:25 
018265 $99 $00 $00     STA $0000,Y [7FC73B] = $00      A:0000 X:07AA Y:C73B S:1FC0 D:192B DB:7F P:nvMxdiZC V:37  H:29 
